
BCD	7SegDecoder(180,150).BCD_In	7SegDecoder(180,150).a	7SegDecoder(180,150).b	7SegDecoder(180,150).c	7SegDecoder(180,150).d	7SegDecoder(180,150).e	7SegDecoder(180,150).f	7SegDecoder(180,150).g
0000	0000					1		1		1		1		1		1		0
0001	0001					0		1		1		0		0		0		0
0010	0010					1		1		0		1		1		0		1
0011	0011					1		1		1		1		0		0		1
0100	0100					0		1		1		0		0		1		1
0101	0101					1		0		1		1		0		1		1
0110	0110					1		0		1		1		1		1		1
0111	0111					1		1		1		0		0		0		0
1000	1000					1		1		1		1		1		1		1
1001	1001					1		1		1		1		0		1		1
1010	1010					1		0		0		1		1		1		1
1011	1011					1		0		0		1		1		1		1
1100	1100					1		0		0		1		1		1		1
1101	1101					1		0		0		1		1		1		1
1110	1110					1		0		0		1		1		1		1
1111	1111					1		0		0		1		1		1		1
